id,url,name,season,number,type,image
2604879,https://www.tvmaze.com/episodes/2604879/na-straze-plaza-2x05-seria-13,Серия 13,2,5,regular,
2610181,https://www.tvmaze.com/episodes/2610181/zamaacnyj-1x03-seria-3,Серия 3,1,3,regular,
2598421,https://www.tvmaze.com/episodes/2598421/posledovateli-1x03-seria-03,Серия 03,1,3,regular,
2599349,https://www.tvmaze.com/episodes/2599349/61st-street-2x07-the-offer,The Offer,2,7,regular,
2561116,https://www.tvmaze.com/episodes/2561116/wu-shen-zhu-zai-1x357-episode-357,Episode 357,1,357,regular,
2550005,https://www.tvmaze.com/episodes/2550005/wan-jie-du-zun-2x104-episode-154,Episode 154,2,104,regular,
2608324,https://www.tvmaze.com/episodes/2608324/feng-juns-men-1x25-episode-25,Episode 25,1,25,regular,
2608325,https://www.tvmaze.com/episodes/2608325/feng-juns-men-1x26-episode-26,Episode 26,1,26,regular,
2616926,https://www.tvmaze.com/episodes/2616926/a-love-story-of-different-dimensions-1x07-episode-7,Episode 7,1,7,regular,
2616927,https://www.tvmaze.com/episodes/2616927/a-love-story-of-different-dimensions-1x08-episode-8,Episode 8,1,8,regular,
2604385,https://www.tvmaze.com/episodes/2604385/lost-you-forever-1x25-episode-25,Episode 25,1,25,regular,
2604386,https://www.tvmaze.com/episodes/2604386/lost-you-forever-1x26-episode-26,Episode 26,1,26,regular,
2603607,https://www.tvmaze.com/episodes/2603607/future-call-1x25-episode-25,Episode 25,1,25,regular,
2607785,https://www.tvmaze.com/episodes/2607785/killing-game-1x15-episode-15,Episode 15,1,15,regular,
2605979,https://www.tvmaze.com/episodes/2605979/supervisor-husband-1x19-episode-19,Episode 19,1,19,regular,
2611642,https://www.tvmaze.com/episodes/2611642/wu-ming-dang-pu-1x23-episode-23,Episode 23,1,23,regular,
2611643,https://www.tvmaze.com/episodes/2611643/wu-ming-dang-pu-1x24-episode-24,Episode 24,1,24,regular,
2612191,https://www.tvmaze.com/episodes/2612191/blossom-dumping-world-1x21-episode-21,Episode 21,1,21,regular,
2612192,https://www.tvmaze.com/episodes/2612192/blossom-dumping-world-1x22-episode-22,Episode 22,1,22,regular,
2613081,https://www.tvmaze.com/episodes/2613081/the-galloping-remaining-year-1x10-episode-10,Episode 10,1,10,regular,
2616490,https://www.tvmaze.com/episodes/2616490/metaverse-1x07-episode-7,Episode 7,1,7,regular,
2616491,https://www.tvmaze.com/episodes/2616491/metaverse-1x08-episode-8,Episode 8,1,8,regular,
2615880,https://www.tvmaze.com/episodes/2615880/my-knight-boyfiend-1x18-episode-18,Episode 18,1,18,regular,
2616577,https://www.tvmaze.com/episodes/2616577/my-powerful-girl-1x15-episode-15,Episode 15,1,15,regular,
2616579,https://www.tvmaze.com/episodes/2616579/my-powerful-girl-1x16-episode-16,Episode 16,1,16,regular,
2617155,https://www.tvmaze.com/episodes/2617155/my-charming-villian-emperor-1x01-episode-1,Episode 1,1,1,regular,
2617156,https://www.tvmaze.com/episodes/2617156/my-charming-villian-emperor-1x02-episode-2,Episode 2,1,2,regular,
2617157,https://www.tvmaze.com/episodes/2617157/my-charming-villian-emperor-1x03-episode-3,Episode 3,1,3,regular,
2617158,https://www.tvmaze.com/episodes/2617158/my-charming-villian-emperor-1x04-episode-4,Episode 4,1,4,regular,
2617159,https://www.tvmaze.com/episodes/2617159/my-charming-villian-emperor-1x05-episode-5,Episode 5,1,5,regular,
2617160,https://www.tvmaze.com/episodes/2617160/my-charming-villian-emperor-1x06-episode-6,Episode 6,1,6,regular,
2617161,https://www.tvmaze.com/episodes/2617161/my-charming-villian-emperor-1x07-episode-7,Episode 7,1,7,regular,
2617162,https://www.tvmaze.com/episodes/2617162/my-charming-villian-emperor-1x08-episode-8,Episode 8,1,8,regular,
2617163,https://www.tvmaze.com/episodes/2617163/my-charming-villian-emperor-1x09-episode-9,Episode 9,1,9,regular,
2617164,https://www.tvmaze.com/episodes/2617164/my-charming-villian-emperor-1x10-episode-10,Episode 10,1,10,regular,
2617165,https://www.tvmaze.com/episodes/2617165/my-charming-villian-emperor-1x11-episode-11,Episode 11,1,11,regular,
2617166,https://www.tvmaze.com/episodes/2617166/my-charming-villian-emperor-1x12-episode-12,Episode 12,1,12,regular,
2609630,https://www.tvmaze.com/episodes/2609630/eastenders-2023-08-08-08082023,08/08/2023,2023,127,regular,
2577533,https://www.tvmaze.com/episodes/2577533/new-japan-pro-wrestling-2023-08-08-g1-climax-33-day-15,G1 Climax 33 Day 15,2023,76,regular,
2612916,https://www.tvmaze.com/episodes/2612916/im-nobody-1x08-episode-8,Episode 8,1,8,regular,
2607751,https://www.tvmaze.com/episodes/2607751/narcotics-heroes-1x18-episode-18,Episode 18,1,18,regular,
2500681,https://www.tvmaze.com/episodes/2500681/my-gold-my-jade-1x97-episode-97,Episode 97,1,97,regular,
2604977,https://www.tvmaze.com/episodes/2604977/the-infiltrator-1x29-episode-29,Episode 29,1,29,regular,
2604978,https://www.tvmaze.com/episodes/2604978/the-infiltrator-1x30-episode-30,Episode 30,1,30,regular,
2616519,https://www.tvmaze.com/episodes/2616519/days-with-ambition-and-pride-1x12-episode-12,Episode 12,1,12,regular,
2616520,https://www.tvmaze.com/episodes/2616520/days-with-ambition-and-pride-1x13-episode-13,Episode 13,1,13,regular,
2616750,https://www.tvmaze.com/episodes/2616750/you-pan-tou-1x06-episode-6,Episode 6,1,6,regular,
2616752,https://www.tvmaze.com/episodes/2616752/you-pan-tou-1x07-episode-7,Episode 7,1,7,regular,
2617695,https://www.tvmaze.com/episodes/2617695/honest-trailers-2023-08-08-secret-invasion,Secret Invasion,2023,32,regular,
2617333,https://www.tvmaze.com/episodes/2617333/pod-save-america-2023-08-08-judge-may-shush-trumpin-america,Judge May Shush Trump….in America??,2023,61,regular,
