id,_embedded.show.id,_embedded.show.url,_embedded.show.name,_embedded.show.type,_embedded.show.language,_embedded.show.status,_embedded.show.runtime,_embedded.show.averageRuntime,_embedded.show.officialSite,domain
2604879,63169,https://www.tvmaze.com/shows/63169/na-straze-plaza,На страже пляжа,Scripted,Russian,Running,,45.0,https://premier.one/show/na-strazhe-plyazha,premier.one
2610181,69820,https://www.tvmaze.com/shows/69820/zamaacnyj,Замаячный,Scripted,,Running,,,,
2598421,69937,https://www.tvmaze.com/shows/69937/posledovateli,Последователи,Scripted,Russian,Running,,,https://premier.one/show/posledovateli/,premier.one
2599349,40916,https://www.tvmaze.com/shows/40916/61st-street,61st Street,Scripted,English,Running,,54.0,https://www.stan.com.au/watch/61st-street/season-2,www.stan.com.au
2561116,54033,https://www.tvmaze.com/shows/54033/wu-shen-zhu-zai,Wu Shen Zhu Zai,Animation,Chinese,Running,5.0,7.0,https://v.qq.com/x/cover/7q544xyrava3vxf.html,v.qq.com
2550005,55087,https://www.tvmaze.com/shows/55087/wan-jie-du-zun,Wan Jie Du Zun,Animation,Chinese,Running,8.0,8.0,https://v.qq.com/x/cover/mzc00200cu8uq8c.html,v.qq.com
2608324,70231,https://www.tvmaze.com/shows/70231/feng-juns-men,Feng Jun's men,Scripted,Chinese,Running,10.0,10.0,https://v.youku.com/v_nextstage/id_fbbf9377c1e54043aef2.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dtitle,v.youku.com
2608325,70231,https://www.tvmaze.com/shows/70231/feng-juns-men,Feng Jun's men,Scripted,Chinese,Running,10.0,10.0,https://v.youku.com/v_nextstage/id_fbbf9377c1e54043aef2.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dtitle,v.youku.com
2616926,70440,https://www.tvmaze.com/shows/70440/a-love-story-of-different-dimensions,A Love Story of Different Dimensions,Scripted,Chinese,Running,,10.0,https://w.mgtv.com/b/567965/19489010.html?fpa=se&lastp=so_result,w.mgtv.com
2616927,70440,https://www.tvmaze.com/shows/70440/a-love-story-of-different-dimensions,A Love Story of Different Dimensions,Scripted,Chinese,Running,,10.0,https://w.mgtv.com/b/567965/19489010.html?fpa=se&lastp=so_result,w.mgtv.com
2604385,69142,https://www.tvmaze.com/shows/69142/lost-you-forever,Lost You Forever,Scripted,Chinese,Running,45.0,45.0,https://v.qq.com/x/cover/mzc002003rpvd4j.html,v.qq.com
2604386,69142,https://www.tvmaze.com/shows/69142/lost-you-forever,Lost You Forever,Scripted,Chinese,Running,45.0,45.0,https://v.qq.com/x/cover/mzc002003rpvd4j.html,v.qq.com
2603607,69992,https://www.tvmaze.com/shows/69992/future-call,Future Call,Scripted,Chinese,Ended,10.0,10.0,https://v.qq.com/x/cover/mzc00200wac6xnr.html,v.qq.com
2607785,70006,https://www.tvmaze.com/shows/70006/killing-game,Killing Game,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200iba2opl.html,v.qq.com
2605979,70073,https://www.tvmaze.com/shows/70073/supervisor-husband,Supervisor Husband,Scripted,Chinese,Running,15.0,15.0,https://v.qq.com/x/cover/mzc00200ixqhb52.html,v.qq.com
2611642,70311,https://www.tvmaze.com/shows/70311/wu-ming-dang-pu,Wu Ming Dang Pu,Scripted,Chinese,Ended,7.0,7.0,https://v.qq.com/x/cover/mzc00200cuekhen.html,v.qq.com
2611643,70311,https://www.tvmaze.com/shows/70311/wu-ming-dang-pu,Wu Ming Dang Pu,Scripted,Chinese,Ended,7.0,7.0,https://v.qq.com/x/cover/mzc00200cuekhen.html,v.qq.com
2612191,70330,https://www.tvmaze.com/shows/70330/blossom-dumping-world,Blossom Dumping World,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200u1m5rda.html,v.qq.com
2612192,70330,https://www.tvmaze.com/shows/70330/blossom-dumping-world,Blossom Dumping World,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200u1m5rda.html,v.qq.com
