id,genre_1,genre_2,genre_3,genre_4
2604879,Comedy,Crime,,
2610181,Drama,Thriller,Mystery,
2598421,Drama,Thriller,,
2599349,Drama,Crime,Legal,
2561116,Action,Adventure,Anime,Fantasy
2550005,Action,Anime,Fantasy,History
2608324,Romance,,,
2608325,Romance,,,
2616926,Drama,Romance,,
2616927,Drama,Romance,,
2604385,Drama,Fantasy,Romance,
2604386,Drama,Fantasy,Romance,
2603607,Drama,Science-Fiction,,
2607785,Food,Romance,,
2605979,Comedy,Fantasy,Romance,
2611642,Drama,,,
2611643,Drama,,,
2612191,Drama,Fantasy,Romance,
2612192,Drama,Fantasy,Romance,
2613081,Drama,,,
2616490,Romance,Science-Fiction,,
2616491,Romance,Science-Fiction,,
2615880,Drama,Romance,,
2616577,Drama,Comedy,Romance,
2616579,Drama,Comedy,Romance,
2617155,Drama,Fantasy,Romance,
2617156,Drama,Fantasy,Romance,
2617157,Drama,Fantasy,Romance,
2617158,Drama,Fantasy,Romance,
2617159,Drama,Fantasy,Romance,
2617160,Drama,Fantasy,Romance,
2617161,Drama,Fantasy,Romance,
2617162,Drama,Fantasy,Romance,
2617163,Drama,Fantasy,Romance,
2617164,Drama,Fantasy,Romance,
2617165,Drama,Fantasy,Romance,
2617166,Drama,Fantasy,Romance,
2609630,Drama,,,
2577533,,,,
2612916,Drama,Adventure,Fantasy,
2607751,Drama,Crime,,
2500681,Drama,Family,Romance,
2604977,Drama,Crime,History,
2604978,Drama,Crime,History,
2616519,Drama,,,
2616520,Drama,,,
2616750,Drama,Romance,,
2616752,Drama,Romance,,
2617695,Comedy,,,
2617333,,,,
2605368,,,,
2617380,,,,
2617406,Music,,,
2570979,Sports,,,
2564652,Comedy,Science-Fiction,,
2617340,Crime,,,
2617341,Crime,,,
2617342,Crime,,,
2617343,Crime,,,
2617344,Crime,,,
2617345,Crime,,,
2617346,Crime,,,
2617347,Crime,,,
2617348,Crime,,,
2617349,Crime,,,
2617228,,,,
2599980,Comedy,Fantasy,Romance,
2599981,Comedy,Fantasy,Romance,
2601924,Mystery,,,
2601925,Mystery,,,
2593884,Comedy,Horror,,
2617116,Comedy,Horror,,
2617117,Comedy,Horror,,
2617118,Comedy,Horror,,
2617119,Comedy,Horror,,
2617120,Comedy,Horror,,
2617121,Comedy,Horror,,
2617122,Comedy,Horror,,
2587407,Anime,,,
2600413,,,,
2560656,Fantasy,Romance,,
2549226,Drama,Mystery,,
2616667,Drama,Family,Romance,
2617400,Romance,,,
2538691,Comedy,Crime,Mystery,
2555463,Comedy,Crime,Mystery,
2544464,,,,
2560157,Romance,,,
2617225,,,,
2599200,,,,
2612115,Drama,Action,Sports,
